,poisonous,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
0,1,x,s,n,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,k,s,u
1,0,x,s,y,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,n,n,g
2,0,others,s,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,n,n,others
3,1,x,y,w,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,k,s,u
4,0,x,s,g,f,n,f,w,b,others,t,e,s,s,w,w,w,o,e,n,a,g
5,0,x,y,y,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,k,n,g
6,0,others,s,w,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,k,n,others
7,0,others,y,w,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,n,s,others
8,1,x,y,w,t,others,f,c,n,p,e,e,s,s,w,w,w,o,p,k,v,g
9,0,others,s,y,t,a,f,c,b,g,e,others,s,s,w,w,w,o,p,k,s,others
10,0,x,y,y,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,n,n,g
11,0,x,y,y,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,k,s,others
12,0,others,s,y,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,n,s,g
13,1,x,y,w,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,n,v,u
14,0,x,others,n,f,n,f,w,b,n,t,e,s,others,w,w,w,o,e,k,a,g
15,0,others,others,g,f,n,f,c,n,others,e,e,s,s,w,w,w,o,p,n,y,u
16,0,f,others,w,f,n,f,w,b,others,t,e,s,s,w,w,w,o,e,n,a,g
17,1,x,s,n,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,k,s,g
18,1,x,y,w,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,n,s,u
19,1,x,s,n,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,n,s,u
20,0,others,s,y,t,a,f,c,b,others,e,others,s,s,w,w,w,o,p,n,s,others
21,1,x,y,n,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,n,v,g
22,0,others,y,y,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,n,s,others
23,0,others,y,w,t,a,f,c,b,w,e,others,s,s,w,w,w,o,p,n,n,others
24,0,others,s,w,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,k,s,others
25,1,f,s,w,t,others,f,c,n,n,e,e,s,s,w,w,w,o,p,n,v,g
26,0,x,y,y,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,n,n,others
27,0,x,y,w,t,l,f,c,b,w,e,others,s,s,w,w,w,o,p,n,n,others
28,0,f,others,n,f,n,f,c,n,others,e,e,s,s,w,w,w,o,p,k,y,u
29,0,x,s,y,t,a,f,w,n,n,t,b,s,s,w,w,w,o,p,n,v,d
30,0,others,s,y,t,l,f,c,b,g,e,others,s,s,w,w,w,o,p,n,n,others
31,1,x,y,w,t,others,f,c,n,others,e,e,s,s,w,w,w,o,p,n,s,u
32,0,x,y,y,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,n,n,others
33,0,x,y,n,t,l,f,c,b,p,e,others,s,others,w,w,w,o,p,n,y,p
34,0,others,y,y,t,l,f,c,b,n,e,others,s,s,w,w,w,o,p,n,s,others
35,0,x,others,y,t,l,f,w,n,w,t,b,s,s,w,w,w,o,p,n,v,d
36,0,others,others,g,f,n,f,c,n,others,e,e,s,s,w,w,w,o,p,k,v,u
37,1,x,y,n,t,others,f,c,n,w,e,e,s,s,w,w,w,o,p,n,s,u
38,0,x,others,y,t,a,f,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d
39,0,others,s,y,t,l,f,c,b,others,e,others,s,s,w,w,w,o,p,k,s,others
40,0,others,y,y,t,a,f,c,b,n,e,others,s,s,w,w,w,o,p,n,s,g
